10|39|20191106163002
0001|asd|asd|123
0002|bvh|fdh|345
0003|kjl|adf|12
0004|asd|asd|123
0005|bvh|fdh|345
0006|kjl|adf|12
0007|asd|asd|123
0008|bvh|fdh|345
0009|kjl|adf|12
0010|asd|asd|123
0011|bvh|fdh|345
0012|kjl|adf|12
0013|asd|asd|123
0014|bvh|fdh|345
0015|kjl|adf|12
0016|asd|asd|123
0017|bvh|fdh|345
0018|kjl|adf|12
0019|asd|asd|123
0020|bvh|fdh|345
0021|kjl|adf|12
0022|asd|asd|123
0023|bvh|fdh|345
0024|kjl|adf|12
0025|asd|asd|123
0026|bvh|fdh|345
0027|kjl|adf|12
0028|asd|asd|123
0002|bvh|fdh|345
0003|kjl|adf|12
0001|asd|asd|123
0002|bvh|fdh|345
0003|kjl|adf|12
0001|asd|asd|123
0002|bvh|fdh|345
0003|kjl|adf|12
0001|asd|asd|123
0002|bvh|fdh|345
0003|kjl|adf|12
90|3
